Topic,Count,Name,Representation,Representative_Docs
-1,1553,-1_the_and_was_food,"['the', 'and', 'was', 'food', 'is', 'to', 'for', 'good', 'with', 'of']","['My first time here with hubby. We had a wonderful dining experience. The food is good and the price is reasonable for these high quality food. Wide varieties of food. We are very satisfied with all the food and drink we ordered, very happy …', ""The food is so normal, just edible, not nice at all... Not worth the price at all.... Serve really slowly... The only amazing thing is the price, amazingly expensive... I see people around me didn't finish the food as well... This place was good sometimes back, but I'll not visit this place again..."", 'Overall the food quality is ok. The environment here is quiet and clean. The service staff here are friendly also. But the price was quite expensive. Would recommend this place to anyone looking for great food and a nice vibe to enjoy with friends at NTU.']"
0,129,0_order_table_to_waited,"['order', 'table', 'to', 'waited', 'no', 'service', 'came', 'my', 'food', 'not']","['Made reservation online with deposit paid, yet need to find table myself. Table was not setup in advance. Waited more than 45 minutes to be served the first dish. Had to remind the staff. Other customers who came after me were served first. …', ""We never recieved our food. We waited for more than an hour. Other customers who came after us got their food. And the place wasn't even that full. Terrible service. They only serve Chinese, they did not serve us, as we were the only other …"", 'I placed my order at 10:08 PM and waited for 30 minutes, but the food never arrived. I went to the counter to check, and the manager said table service usually takes longer. I accepted that and went back to wait again. …']"
1,99,1_park_exercise_jog_walk,"['park', 'exercise', 'jog', 'walk', 'for', 'jogging', 'morning', 'parks', 'some', 'nice']","['Such a nice park to walk around or have a jog in the morning...', 'Such a nice park to walk around or have a jog in the morning...', 'Nice park']"
2,84,2_singapore_in_park_place,"['singapore', 'in', 'park', 'place', 'walk', 'of', 'one', 'parks', 'you', 'it']","['We took a walk around the area on our first night in Singapore. I was not sure if I would like it as it seemed artificial, but to my surprise, it was a pleasant visit. It is a little far from other parts of the city, but it is worth the visit. The park is free to enter and walk around, unless you want to go to indoor gardens.', 'Beautiful place with lots of different mini parks and photo locations. Can enjoy the nature and view the city while exploring the history of Singapore. One of the hills in Singapore with great views. Better to visit in the early morning or …', 'One of the best places to go for a walk / run and cycling ..the weather was amazing and the place is super clean well maintained. If you appreciate nature then this is one of the must go places when you visit singapore, make sure to park at the very beginning and go all the way up and down']"
3,75,3_was_birthday_each_were,"['was', 'birthday', 'each', 'were', 'experience', 'service', 'and', 'our', 'attentive', 'the']","['Very pleasantly surprised that the food was really good for an experiential dining experience! It was a 2- hour experience and the hosts were great and friendly. The decor and ambience were also interesting and we really enjoyed myself.  It was a lot of fun and would highly recommend to visit', 'Chef was really knowledgeable on the food prepared for our dinner set. The staff was really friendly and everyone was really hospitable. Had some local fusion dishes which was really delicious. Exchanged some conversations with the Chef too + was recommended a really delicious wine to go with our dinner! Great place!', 'Had a wonderful dinner, excellent attentive service & warm hospitality of the staff. Food was served fast and hot. Quality of food was fantastic. Thanks for making our birthday dinner an enjoyable evening!']"
4,71,4_supertree_grove_gardens_bay,"['supertree', 'grove', 'gardens', 'bay', 'light', 'show', 'by', 'supertrees', 'night', 'futuristic']","['Supertree Grove is stunning, especially at night with the light show. A magical experience you shouldn’t miss in Singapore!', 'An absolutely magical experience at Supertree Grove in Gardens by the Bay! The towering supertrees are a stunning sight during the day, but the real magic begins at night with the Garden Rhapsody Light and Sound Show — and the best part? …', 'I visited Gardens by the Bay on a weekday when it was less crowded, and it was absolutely stunning! The futuristic Supertree Grove is breathtaking, with its towering vertical gardens that light up beautifully at night. …']"
5,71,5_trail_walk_trails_hiking,"['trail', 'walk', 'trails', 'hiking', 'beauty', 'treetop', 'nature', 'hike', 'park', 'world']","['Excellent trail for hiking or walking, especially in the morning. Peaceful and filled with fresh air all around.', 'A new beautiful nature park for a good family outing or even a casual hike! Went into the park through the link bridge connected to the top floor of Beauty World Centre. The trails in the park are not too long so managed to walk the whole …', 'Today, I went on a treetop hiking trail, and it was absolutely amazing. As I walked through the forest, I felt completely immersed in nature, with the sounds of birds singing all around me. The trail offered a perfect blend of adventure and …']"
6,68,6_history_singapore_museum_about,"['history', 'singapore', 'museum', 'about', 'learn', 'of', 'singapores', 'exhibits', 'informative', 'interactive']","[""You can't go wrong with National Museum of Singapore, highly curated to share the history of the island state with great information.  If you are a history buff or just a visitor.  I am sure you will learn a thing or two after your trip …"", 'Good place to know history of Singapore.', 'This is a very informative and knowledgeable museum. I’m a tourist from Taiwan, I spend more than 2 hours in the museum, and a whole picture of Singapore history. Highly recommend people who want to know about Singapore history come visit, it’s totally worth it.']"
7,58,7_fort_canning_gate_tunnel,"['fort', 'canning', 'gate', 'tunnel', 'tree', 'staircase', 'park', 'spiral', 'hill', 'of']","['Fort Canning Tree Tunnel: A Tale of Two Experiences\nThe Fort Canning Tree Tunnel in Singapore has become an incredibly popular spot, and for good reason. It offers a unique and visually stunning experience, but …', ""Fort Canning's Tree Tunnel: Worth the Wait! 🌳✨\nJust brought my clients to the famous Tree Tunnel at Fort Canning Park, and wow – what an experience! …"", 'An old gate of Canning Fort']"
8,57,8_dinosaurs_jurassic_dinosaur_playground,"['dinosaurs', 'jurassic', 'dinosaur', 'playground', 'theme', 'kids', 'park', 'dino', 'mini', 'garden']","['The garden is also an excellent place to take children, especially with the mini Jurassic Park attraction. The mini Jurassic Park features realistic dinosaur models that are sure to delight and entertain children of all ages. The park also has a playground, making it an ideal location for a family outing.', 'Kids playground\nTheme as dinosaurs', 'Jurassic park theme playground! Great place for kids']"
