Scraped Locations,Scraped Users,Scraped Reviews,Scraped Ratings,Scraped Dates,Type
McDonald's,Klair T,"Order first round of fries is soggy, it was replaced and 2nd round is so oily that it’s glowing with oil! First time I see mac Donald’s fries shinning with oily surfaces. To me, this is disgusting and sloppy work. Why not drain away the oil properly before serving???",1,8 months ago,Restaurants
McDonald's,Zuhaili Imran,"The workers here is very incompetent. 95% of the time when we ordered takeaway from here there will  always be a missing item or wrong item. Today 27/04/2025 @1000hrs i ordered breakfast worth $70 for my family, most of the item is …",1,4 months ago,Restaurants
McDonald's,Ivan Lam,"Located on the second floor of Gek Poh Shopping Centre, this McDonald's was recently refurbished with a new look. Apart from the self-ordering machine, you can also request for table service when you order your food. Also, there is an area reserved for parties as well.",5,6 years ago,Restaurants
McDonald's,Andy Siow,"Forgot about my order, promise 15min delivery after calling customer service. Order still not in . Finally arrival with all the food cold",1,a week ago,Restaurants
McDonald's,Rahimah Beevi,Never deliver all items always. Hate to order from macdonlds. Always have missing items. How can 1 eat pancakes without the syrup!! Spoilt my whole day.,1,3 weeks ago,Restaurants
McDonald's,Ken Tay,"I strongly recommend avoiding this location and opting for the Pioneer Mall or Boon Lay branches instead. The staff here are often unhelpful, and the service is exceptionally slow. Delivery orders are consistently delayed, and items are …",1,6 months ago,Restaurants
McDonald's,sindy tio,Fast service from the Kiosk. Foods are served hot. Loved their Chicken Mc. Crispy. But it was not as spicy as when it just released on the menu anymore :'(,4,3 years ago,Restaurants
McDonald's,Udayani Vlogs,The Mcspicy tastes really bad and what received in my mc spicys ingredients is spoiled and costed $7.30 and I would avoid this Gekpoh McDonald’s branch.,1,a month ago,Restaurants
McDonald's,jimmy chew,Efficient and friendly staff. Nice ambience to take a late dinner. Most hawker center and stall are closed around this area,5,3 months ago,Restaurants
McDonald's,Jieling Teo,usually the food here ain’t bad but had a really bad McGriddles today…. bun was overcooked and it’s really really dry and m hard to chew… i haven’t eaten such a bad McGriddles before and i am displeased!!,2,a year ago,Restaurants
McDonald's,YY,"One of the slowest MacDonald outlet that I had ever visited. Despite without anyone in queue / waiting for food, it took almost 20 mins just to get my chicken wrap served. This is not the first time this has happened, maybe the management should look into the work efficiency of the staff",1,a month ago,Restaurants
McDonald's,Unknown555 Known,"Order large fries only get half
Cheating customer
Curry sauce already need pay fries also want save money? …",1,4 months ago,Restaurants
McDonald's,Wardah Nur Ain,"Horrible! Just ordered delivery from Pioneer McDonald’s. This wasn’t the first time i didn’t received all of my orders right. There always be something’s missing. For today’s order, drinks, fries and box of nuggets and wings I didn’t …",1,4 months ago,Restaurants
McDonald's,Grace Foo,"I ordered takeaway and selected the Smoked Nacho Cheese Sauce for my Spicy McNuggets. But when I got home, I found Honey Mustard Sauce instead.
This was quite disappointing, as the smoked nacho cheese was one of the main reasons I placed the order.",1,2 months ago,Restaurants
McDonald's,Runner Kao,"The 2 Chinese managers here provides amazing service, always serve with a smile and go beyond their services, leading by example so that the rest of the staff follows too. So good you would think they are the owners. Love to dine here ❤️ - Runner Kao",5,Edited 7 months ago,Restaurants
McDonald's,danale,"ordered a special meal with side,pie,drinks and a main but only got the main and the drink. this isnt the first time they forgot my item.",1,3 months ago,Restaurants
McDonald's,Rias Ash,"Terrible service, order can get wrong, one day I waited 40 minutes for ONE APPLE PIE and another day I had to wait 40 MINUTES for ONE meal. They skip my number so much to the point where the order number rolled over. The only reason I got …",1,a month ago,Restaurants
McDonald's,Dresden Posęt,"I usually buy Macs from here, and there were a few times where my order was mixed up. This caused quite a delay of the arrival of my food, and I would need to tell them about my order so that they could redo it again. Honestly, both of the …",3,7 months ago,Restaurants
McDonald's,chua leon,"Very slow service provided. Staffs never wear name tag on the 30/11/24. Lina was professional.
I was serve at 2.38am my nuggets were way slower than delivery service. 9 pcs …",1,8 months ago,Restaurants
McDonald's,Chandler Oliveiro Tampoco,So I ordered quite a few times already from this outlet and I have to say the burger they make always doesn't look/taste like the ones in boon lay Macdonald's. Today some how they got my order wrong as I requested no pickle on a triple …,1,3 months ago,Restaurants
McDonald's,Samantha,Horrible outlet with rude staff. Very disorganised. The queue numbers on the screen are only there for show. …,1,a year ago,Restaurants
McDonald's,Yang,"Scrambled Egg Burger with Sausage
Fluffly scrambled egg and yummy sausage patty. …",4,Edited 3 years ago,Restaurants
McDonald's,Premala Benogopan,Food was extremely a spoiler alert!Bought a Chicken burger meal and the meat patty tasted horrible!Supposed to receive a regular sized corn but came as the happy meal mini sized one.The beverage I ordered was cola and it was out of gas and …,1,3 weeks ago,Restaurants
McDonald's,Geoffrey,The boy staff at the front counter at around 6.30pm-ish has got serious attitude problems. Not apologetic at all for missing items and just threw the items (including a spoon) on the dirty counter furiously. Are you ok? What’s the manager doing? Serious problems with the service level here.,1,a year ago,Restaurants
McDonald's,luffy Monkey•D,"Super slow service.
Waited an hour for the food.
And The crews can still chit chat around, taking their own sweet time figuring …",1,2 years ago,Restaurants
McDonald's,Divyanshu Mahajan,"Nasi Lemak burger is back and the taste is good. McD is Super popular and there’s always a line so expect waiting time. The people behind the counter work hard and are happy to help. Having eaten here so many times, the error rate isn’t worth mentioning and their diligence is definitely appreciated.",4,6 years ago,Restaurants
McDonald's,N7 Assassin,"Complete waste of time trying to order here. Staff are so lost and everything is a mess, queue numbers are useless. Wait so long that your order just disappears. By the time the food comes, cold and soggy.",1,5 months ago,Restaurants
McDonald's,Ding Shawn,"Some guy took a ice cream back for some reason, and they just directly give me the melted one. Then they are angry for my refusal. It cannot happen in any other place",1,4 months ago,Restaurants
McDonald's,Kai,"only 2 orders out on the desk, asking for ketchup, ignored by cashier who was chatting with another worker. kitchen staff had to come out to cover.",1,3 months ago,Restaurants
McDonald's,Yansong Zhao,Worst experience ever. I placed the order at 18:09 and now it is 18:58 and I finally get my food after times and times inquiries. It seems that my order was missing in McDonald’s system. …,1,3 years ago,Restaurants
McDonald's,iddham 9295,"Ordered upsize smoky chilli mayo mcspicy meal which comes with large criss cut fries. However, the portion for the criss cut fries is damn pathetic. Burger was already cold and drinks were diluted. I ordered at around 11.30pm which is 30 …",1,3 months ago,Restaurants
McDonald's,Nathan Tan,"Ordered the Hot Fudge Sundae at McDonald's and received a pathetic drizzle of hot fudge sauce. The portion was shockingly minimal—it barely covered a quarter of the ice cream. Felt cheated, please improve your quality control and consistency!",1,4 months ago,Restaurants
McDonald's,cris davi,"Is your company so poor that it even saves on fries? I ordered an L size, but you gave me an M size fries. Is that reasonable?",1,a month ago,Restaurants
McDonald's,Jeff Tay,"Don't know about the comments previously, but I had a good service from a take out I ordered, the nice old lady was very polite n ask if I need to counter check my order before she pack.",5,a month ago,Restaurants
McDonald's,Tio Gabriel Tio Yong Ping,"9/2/2025
Failed filet-o-fish. Fish and cheese displace a lot from the bun …",4,Edited 6 months ago,Restaurants
McDonald's,Happpie Bunny,"I bought a Sausage EggMuffin meal this morning, request the Staff- Manager (Malay man) for ketchup only because inside the packing does not have any sauce. He only gave me 1 pkt then I requested again for more but he also gave me 1 pkt only …",1,3 months ago,Restaurants
McDonald's,atw 2,"I would like to make a complaint regarding my recent order. I was missing one portion of fries, and the waiting time was already very long. When I asked the staff (the auntie) about my order, her response was dismissive. She simply said, “Your order there anot? Not there means not there,” which I found unhelpful and unprofessional.",1,a week ago,Restaurants
McDonald's,Eunice Yong,The French fries is terrible. Not even warm. Came here last night and tonight. Same thing happened to the fries,1,2 months ago,Restaurants
McDonald's,Deon Yong,"I order 2set ham burger happy meal, they give me 2 set nugget set, Jurong point MCD",1,2 months ago,Restaurants
McDonald's,Vincent,"I placed my order at 10:08 PM and waited for 30 minutes, but the food never arrived. I went to the counter to check, and the manager said table service usually takes longer. I accepted that and went back to wait again. …",1,2 months ago,Restaurants
McDonald's Jurong Central Park,Wong,"This outlet consistently serves food that tastes noticeably better than other branches in the west — especially the fries. I’ve patronized this outlet several times, and it’s always been a satisfying experience. …",5,3 weeks ago,Restaurants
McDonald's Jurong Central Park,Hatsune Miku,"Macdonalds has changed, but not for the better. Today my experience dining in at the outlet at Jurong Central Park was a disappointing one. Service was slow, place was filthy, kiosk scanner not working, kiosk not issuing receipt because no …",2,2 months ago,Restaurants
McDonald's Jurong Central Park,Same same But not same,Someone’s order mix up with mine… where is my veg? The whole burger too dry and weird. Front car just drive off haven’t completed their order. It must be their special order. Happened today 17th May 2025. The green tea too sweet and …,2,3 months ago,Restaurants
McDonald's Jurong Central Park,Goh Wei Rong,"For the 2 times that I came here, I always get free stuff. First time my son and I got free mini-cone vanilla ice cream, this time I got $1 discount and free activities sheet 👍🏼👍🏼 …",5,6 months ago,Restaurants
McDonald's Jurong Central Park,Robert Robert,"The McSpicy and French fries are tasty and nice.

Service staff are also very friendly and courteous. …",5,10 months ago,Restaurants
McDonald's Jurong Central Park,Vincent Khoo,Hopeless service. Can you believe I have to wait for 45 min for my fried chicken? And when I asked counter how long I have to wait...she said in progress but when press her again for exact timing...45 min!!! This is absurb. To say the …,1,a year ago,Restaurants
McDonald's Jurong Central Park,Ytt rium,If your rushing busy is alright.... But pls before passing delivery check clearly the order correct or not...,1,3 months ago,Restaurants
McDonald's Jurong Central Park,Chen Chen,We usually come here for Sundays lunch and are generally happy but this Sunday we waited for almost an hour (we arrived 12:10 and haven’t gotten our food by 1pm) even the place is not too crowded. Seems other people come here later got …,1,a year ago,Restaurants
McDonald's Jurong Central Park,Jason Tun,"Delicious food as always because is McDonald. Less crowded than Jurong Point, typically. Don't care about the nature outside, unlike my father.",4,3 weeks ago,Restaurants
McDonald's Jurong Central Park,Sion Toh,"Came with a friend for dinner.
Got some of the order left out or wrong.
1st, no fries was given. …",1,9 months ago,Restaurants
Fort Canning Park,Uthpalavi Dias,Beautiful place with lots of different mini parks and photo locations. Can enjoy the nature and view the city while exploring the history of Singapore. One of the hills in Singapore with great views. Better to visit in the early morning or …,5,3 weeks ago,Attractions
Fort Canning Park,Alifia Ganjaraharja,Went there on weekday (Monday) and still crowded especially for the tree tunnel where people are lined up for taking photos or videos. But you can also check other places within the fort canning park that are quite interesting,4,2 weeks ago,Attractions
Fort Canning Park,Änna He,"Fort Canning's Tree Tunnel: Worth the Wait! 🌳✨
Just brought my clients to the famous Tree Tunnel at Fort Canning Park, and wow – what an experience! …",4,a month ago,Attractions
Fort Canning Park,Dr. Sourav Mandal,"Just entered the park to see the tree tunnel. The interesting thing is that people making queue in line to take photos. Overall the a very nice place to visit. Green overall. There is a bakery inside can try. Have restaurant also. Very near to old hill street police station, can plan together to visit. ❤️❤️",5,2 weeks ago,Attractions
Fort Canning Park,K Tan,"Fort Canning Park is a lush green oasis and historic botanical garden nestled right in the heart of the city. It offers a peaceful retreat with mature trees, beautifully landscaped gardens, and a variety of scenic photo spots. The park is …",5,2 months ago,Attractions
Fort Canning Park,mengtet Ng,"Just finished my Sunday morning walk at Fort Canning Park.
Greeted by bodies of drunks ppl lying around with tons of litters. The air is filled with alcohol instead of morning fresh air. …",1,2 weeks ago,Attractions
Fort Canning Park,Stephen D,"Absolute marvel having parks in the middle of a metropolis.

There’s so much to learn from the parks rich history and diverse botanical …",5,a week ago,Attractions
Fort Canning Park,C F,"A very interesting green space filled with historical landmarks and heritage fauna. Perfect for a tranquil walk with its many vantage points and nooks of seating areas. The spice garden is a treat for the senses, and I particularly enjoyed …",5,2 months ago,Attractions
Fort Canning Park,Kannammai Palaniappan,"It is a botanical garden with the facility of park for the kids to play. It's really a scenic place, and it is absolutely free. Even elevator facilities are available to reach the top walkway. Their tree tunnel is absolute photo paradise. …",5,3 months ago,Attractions
Fort Canning Park,Battler1975,"Looking for a nice park walk close to city centre and a chance to view the military history of Singapore Port over many years then this is an hour well spent.
Nicely presented gardens, fauna well labelled and lovely restored colonial …",4,a month ago,Attractions
Fort Canning Park,Ardhiyanto Mulyono,"Great park for a quick stroll. Decently-sized and strategic location, can definitely pump in a few kilometers by going around a couple laps. Loops around twice, like a 2 tier cake!",5,4 weeks ago,Attractions
