,Scraped Locations,Scraped Users,Scraped Reviews,Scraped Ratings,Scraped Dates,Type,relevancy,
0,McDonald's,Klair T,"Order first round of fries is soggy, it was replaced and 2nd round is so oily that it’s glowing with oil! First time I see mac Donald’s fries shinning with oily surfaces. To me, this is disgusting and sloppy work. Why not drain away the oil properly before serving???",1,8 months ago,Restaurants,,
1,McDonald's,Zuhaili Imran,"The workers here is very incompetent. 95% of the time when we ordered takeaway from here there will  always be a missing item or wrong item. Today 27/04/2025 @1000hrs i ordered breakfast worth $70 for my family, most of the item is …",1,4 months ago,Restaurants,,
2,McDonald's,Ivan Lam,"Located on the second floor of Gek Poh Shopping Centre, this McDonald's was recently refurbished with a new look. Apart from the self-ordering machine, you can also request for table service when you order your food. Also, there is an area reserved for parties as well.",5,6 years ago,Restaurants,,
3,McDonald's,Andy Siow,"Forgot about my order, promise 15min delivery after calling customer service. Order still not in . Finally arrival with all the food cold",1,a week ago,Restaurants,,
4,McDonald's,Rahimah Beevi,Never deliver all items always. Hate to order from macdonlds. Always have missing items. How can 1 eat pancakes without the syrup!! Spoilt my whole day.,1,3 weeks ago,Restaurants,,
5,McDonald's,Ken Tay,"I strongly recommend avoiding this location and opting for the Pioneer Mall or Boon Lay branches instead. The staff here are often unhelpful, and the service is exceptionally slow. Delivery orders are consistently delayed, and items are …",1,6 months ago,Restaurants,,
6,McDonald's,sindy tio,Fast service from the Kiosk. Foods are served hot. Loved their Chicken Mc. Crispy. But it was not as spicy as when it just released on the menu anymore :'(,4,3 years ago,Restaurants,,
7,McDonald's,Udayani Vlogs,The Mcspicy tastes really bad and what received in my mc spicys ingredients is spoiled and costed $7.30 and I would avoid this Gekpoh McDonald’s branch.,1,a month ago,Restaurants,,
8,McDonald's,jimmy chew,Efficient and friendly staff. Nice ambience to take a late dinner. Most hawker center and stall are closed around this area,5,3 months ago,Restaurants,,
9,McDonald's,Jieling Teo,usually the food here ain’t bad but had a really bad McGriddles today…. bun was overcooked and it’s really really dry and m hard to chew… i haven’t eaten such a bad McGriddles before and i am displeased!!,2,a year ago,Restaurants,,
10,McDonald's,YY,"One of the slowest MacDonald outlet that I had ever visited. Despite without anyone in queue / waiting for food, it took almost 20 mins just to get my chicken wrap served. This is not the first time this has happened, maybe the management should look into the work efficiency of the staff",1,a month ago,Restaurants,,
11,McDonald's,Unknown555 Known,"Order large fries only get half
Cheating customer
Curry sauce already need pay fries also want save money? …",1,4 months ago,Restaurants,,
12,McDonald's,Wardah Nur Ain,"Horrible! Just ordered delivery from Pioneer McDonald’s. This wasn’t the first time i didn’t received all of my orders right. There always be something’s missing. For today’s order, drinks, fries and box of nuggets and wings I didn’t …",1,4 months ago,Restaurants,,
13,McDonald's,Grace Foo,"I ordered takeaway and selected the Smoked Nacho Cheese Sauce for my Spicy McNuggets. But when I got home, I found Honey Mustard Sauce instead.
This was quite disappointing, as the smoked nacho cheese was one of the main reasons I placed the order.",1,2 months ago,Restaurants,,
14,McDonald's,Runner Kao,"The 2 Chinese managers here provides amazing service, always serve with a smile and go beyond their services, leading by example so that the rest of the staff follows too. So good you would think they are the owners. Love to dine here ❤️ - Runner Kao",5,Edited 7 months ago,Restaurants,,
15,McDonald's,danale,"ordered a special meal with side,pie,drinks and a main but only got the main and the drink. this isnt the first time they forgot my item.",1,3 months ago,Restaurants,,
16,McDonald's,Rias Ash,"Terrible service, order can get wrong, one day I waited 40 minutes for ONE APPLE PIE and another day I had to wait 40 MINUTES for ONE meal. They skip my number so much to the point where the order number rolled over. The only reason I got …",1,a month ago,Restaurants,,
17,McDonald's,Dresden Posęt,"I usually buy Macs from here, and there were a few times where my order was mixed up. This caused quite a delay of the arrival of my food, and I would need to tell them about my order so that they could redo it again. Honestly, both of the …",3,7 months ago,Restaurants,,
18,McDonald's,chua leon,"Very slow service provided. Staffs never wear name tag on the 30/11/24. Lina was professional.
I was serve at 2.38am my nuggets were way slower than delivery service. 9 pcs …",1,8 months ago,Restaurants,,
19,McDonald's,Chandler Oliveiro Tampoco,So I ordered quite a few times already from this outlet and I have to say the burger they make always doesn't look/taste like the ones in boon lay Macdonald's. Today some how they got my order wrong as I requested no pickle on a triple …,1,3 months ago,Restaurants,,
20,McDonald's,Samantha,Horrible outlet with rude staff. Very disorganised. The queue numbers on the screen are only there for show. …,1,a year ago,Restaurants,,
21,McDonald's,Yang,"Scrambled Egg Burger with Sausage
Fluffly scrambled egg and yummy sausage patty. …",4,Edited 3 years ago,Restaurants,irrelevant,
22,McDonald's,Premala Benogopan,Food was extremely a spoiler alert!Bought a Chicken burger meal and the meat patty tasted horrible!Supposed to receive a regular sized corn but came as the happy meal mini sized one.The beverage I ordered was cola and it was out of gas and …,1,3 weeks ago,Restaurants,,
23,McDonald's,Geoffrey,The boy staff at the front counter at around 6.30pm-ish has got serious attitude problems. Not apologetic at all for missing items and just threw the items (including a spoon) on the dirty counter furiously. Are you ok? What’s the manager doing? Serious problems with the service level here.,1,a year ago,Restaurants,,
24,McDonald's,luffy Monkey•D,"Super slow service.
Waited an hour for the food.
And The crews can still chit chat around, taking their own sweet time figuring …",1,2 years ago,Restaurants,,
25,McDonald's,Divyanshu Mahajan,"Nasi Lemak burger is back and the taste is good. McD is Super popular and there’s always a line so expect waiting time. The people behind the counter work hard and are happy to help. Having eaten here so many times, the error rate isn’t worth mentioning and their diligence is definitely appreciated.",4,6 years ago,Restaurants,,
26,McDonald's,N7 Assassin,"Complete waste of time trying to order here. Staff are so lost and everything is a mess, queue numbers are useless. Wait so long that your order just disappears. By the time the food comes, cold and soggy.",1,5 months ago,Restaurants,,
27,McDonald's,Ding Shawn,"Some guy took a ice cream back for some reason, and they just directly give me the melted one. Then they are angry for my refusal. It cannot happen in any other place",1,4 months ago,Restaurants,,
28,McDonald's,Kai,"only 2 orders out on the desk, asking for ketchup, ignored by cashier who was chatting with another worker. kitchen staff had to come out to cover.",1,3 months ago,Restaurants,,
29,McDonald's,Yansong Zhao,Worst experience ever. I placed the order at 18:09 and now it is 18:58 and I finally get my food after times and times inquiries. It seems that my order was missing in McDonald’s system. …,1,3 years ago,Restaurants,,
30,McDonald's,iddham 9295,"Ordered upsize smoky chilli mayo mcspicy meal which comes with large criss cut fries. However, the portion for the criss cut fries is damn pathetic. Burger was already cold and drinks were diluted. I ordered at around 11.30pm which is 30 …",1,3 months ago,Restaurants,,
31,McDonald's,Nathan Tan,"Ordered the Hot Fudge Sundae at McDonald's and received a pathetic drizzle of hot fudge sauce. The portion was shockingly minimal—it barely covered a quarter of the ice cream. Felt cheated, please improve your quality control and consistency!",1,4 months ago,Restaurants,,
32,McDonald's,cris davi,"Is your company so poor that it even saves on fries? I ordered an L size, but you gave me an M size fries. Is that reasonable?",1,a month ago,Restaurants,,
33,McDonald's,Jeff Tay,"Don't know about the comments previously, but I had a good service from a take out I ordered, the nice old lady was very polite n ask if I need to counter check my order before she pack.",5,a month ago,Restaurants,,
