,text,secondhand
0,"I've never been here, but a friend of a friend said the parking is impossible. So, one star.",1
1,My cousin came here last year and said the music was too loud. Guess I'll pass.,1
2,I drove by and the sign was misspelled. Can't imagine what the inside is like. Giving it one star.,1
3,"I'm giving this one star because my GPS told me to turn right, but the place was on the left. Clearly a navigation nightmare.",1
4,"A review on another site said the service was slow. Since I value my time, I'm rating it poorly based on that.",1
5,"I've seen photos on Instagram, and the lighting looks really bad for selfies. That's a deal-breaker for me.",1
6,"Never been inside, but the exterior paint color clashes with the rest of the block. Aesthetically unappealing, one star.",1
7,"My dog barked at the building as we walked past. If Fido doesn't like it, I don't like it.",1
8,"I heard a rumor that they don't have enough power outlets. I can't risk my phone dying, so I'm giving it a bad review.",1
9,"I was going to visit, but then I saw a pigeon land on the roof. I don't trust places with too many pigeons.",1
10,"I've never been here, but my psychic told me the energy is off. Not going to risk it.",1
11,"I saw a picture of a friend's food from this place, and their plate was chipped. Unacceptable.",1
12,I heard they don't have paper straws. I can't support that.,1
13,My neighbor said their car got scratched in the parking lot. I'm not taking any chances.,1
14,I drove past and saw a long line. I don't wait in lines.,1
15,A review from two years ago mentioned a dusty shelf. I'm assuming it's still dusty.,1
16,I heard the staff doesn't smile enough. I prefer a more cheerful atmosphere.,1
17,"I was going to visit, but I found out they don't have my favorite brand of sparkling water.",1
18,"I've never been here, but a friend's ex-boyfriend said it was just okay. That's not a good enough recommendation for me.",1
19,I saw a bird fly out of the door as I drove by. That seems unsanitary.,1
20,"My weather app said it might rain later, and I don't like getting wet. So I'm giving this one star for the inconvenient weather forecast.",1
21,"I've never been inside, but the exterior paint color is the same as my ex's car. It's too triggering.",1
22,I heard a rumor that they don't have enough seating. I can't risk standing.,1
23,"My dog barked at the building as we walked past. If Fido doesn't like it, I don't like it.",1
24,"I was going to visit, but then I saw a pigeon land on the roof. I don't trust places with too many pigeons.",1
25,My horoscope said I should avoid new places today. I'm taking that as a sign.,1
26,The street it's on has too many turns. I prefer simple directions.,1
27,"I'm a germaphobe, and I heard someone sneeze near the front door once. I'm giving it a bad review based on that.",1
28,"I've never been, but the name of the place reminds me of a guy who wronged me in high school.",1
29,I saw a photo online where the wall art was slightly crooked. That lack of attention to detail is a deal-breaker.,1
30,A friend told me they had to wait five extra minutes for their food. I don't have that kind of patience.,1
31,I heard they play jazz music. I'm more of a classical person.,1
32,I'm giving this one star because a car with a flat tire was parked outside.,1
33,I saw a review from a year ago that said they were out of a specific item. I can't risk them being out of something I might want.,1
34,"My dog just sneezed, and I'm taking that as a sign not to go here.",1
35,"I heard they don't have a specific vegan option, even though I'm not vegan. It's the principle of the matter.",1
36,"I saw a picture of the menu online, and the font was difficult to read. I'm giving it one star for that reason.",1
37,"I have a bad feeling about this place, and I trust my gut.",1
38,"I heard they don't have a loyalty program, so I'm not interested.",1
39,"The building looks like it was built in the '80s, and I'm not a fan of that aesthetic.",1
40,The logo is a shade of orange that I don't like.,1
41,I'm giving this one star because a car with a 'for sale' sign was parked outside.,1
42,I heard they don't have free Wi-Fi. What kind of business doesn't have free Wi-Fi in 2025?,1
43,"I've never been here, but a friend of a friend said the napkins were a little scratchy. So, one star.",1
44,I saw a review on another site that said the music was too quiet. Guess I'll pass.,1
45,I drove by and the sign was slightly crooked. Can't imagine what the inside is like. Giving it one star.,1
46,"I'm giving this one star because my GPS told me to turn left, but the place was on the right. Clearly a navigation nightmare.",1
47,"A review on another site said the service was too fast. Since I value my relaxation time, I'm rating it poorly based on that.",1
48,"I've seen photos on Instagram, and the lighting looks really good for selfies, which makes me think it's a superficial place.",1
49,"Never been inside, but the exterior paint color is too bright for my taste. Aesthetically unappealing, one star.",1
50,"My dog didn't even look at the building as we walked past. If Fido isn't interested, I'm not interested.",1
51,I heard a rumor that they have too many power outlets. I don't like when things are over-the-top.,1
52,"I was going to visit, but then I saw a leaf fall from a tree nearby. It seemed like a bad omen.",1
53,I heard the staff doesn't talk enough. I prefer a more chatty atmosphere.,1
54,"I was going to visit, but I found out they don't have my favorite brand of coffee.",1
55,"I've never been here, but a friend's ex-girlfriend said it was amazing, which makes me suspicious.",1
56,I saw a squirrel run across the front lawn as I drove by. That seems like a pest problem.,1
57,"My weather app said it might be too sunny later, and I don't like the sun. So I'm giving this one star for the inconvenient weather forecast.",1
58,"I've never been inside, but the exterior paint color is the same as my old car. It's too nostalgic.",1
59,I heard a rumor that they have too many chairs. I don't like feeling crowded.,1
60,"My dog just yawned, and I'm taking that as a sign that this place is boring.",1
61,"I'm a neat freak, and I heard someone spilled something on the floor once. I'm giving it a bad review based on that.",1
62,"I've never been here, but the name of the place reminds me of a guy who was mean to me in middle school.",1
63,I saw a photo online where a flowerpot was slightly tipped over. That lack of attention to detail is a deal-breaker.,1
64,A friend told me they had to wait for their food for exactly four extra minutes. I don't have that kind of patience.,1
65,I heard they play country music. I'm more of a rock person.,1
66,I'm giving this one star because a car with a 'sold' sign was parked outside.,1
67,I saw a review from a year ago that said they were out of a specific item. I can't risk them being out of something I might want.,1
68,"My cat just meowed, and I'm taking that as a sign not to go here.",1
69,"I heard they have too many specific vegan options, even though I'm not vegan. It's overwhelming.",1
70,"I saw a picture of the menu online, and the font was a little too fancy. I'm giving it one star for that reason.",1
71,"I have a bad feeling about this place, and I trust my gut.",1
72,"I heard they have a loyalty program that's too complicated, so I'm not interested.",1
73,"The building looks like it was built last year, and I don't like new-looking buildings.",1
74,The logo is a shade of green that I don't like.,1
75,I'm giving this one star because a car with a parking ticket was parked outside.,1
76,I heard they don't have a specific brand of napkins. What kind of business doesn't have my favorite napkins?,1
77,"I've never been here, but a friend of a friend said the lighting was a little too dim. So, one star.",1
78,I saw a review on another site that said the music was too loud. Guess I'll pass.,1
79,I drove by and the sign was slightly crooked. Can't imagine what the inside is like. Giving it one star.,1
80,"I'm giving this one star because my GPS told me to turn right, but the place was on the left. Clearly a navigation nightmare.",1
81,"A review on another site said the service was too slow. Since I value my time, I'm rating it poorly based on that.",1
82,"I've seen photos on Instagram, and the lighting looks really bad for selfies. That's a deal-breaker for me.",1
83,"Never been inside, but the exterior paint color clashes with the rest of the block. Aesthetically unappealing, one star.",1
84,"My dog barked at the building as we walked past. If Fido doesn't like it, I don't like it.",1
85,"I heard a rumor that they don't have enough power outlets. I can't risk my phone dying, so I'm giving it a bad review.",1
86,"I was going to visit, but then I saw a pigeon land on the roof. I don't trust places with too many pigeons.",1
